team,champ
New York Knicks,31.12693
Orlando Magic,31.39545
Cleveland Cavaliers,31.879536
Miami Heat,31.974163
Dallas Mavericks,32.08162
Detroit Pistons,32.165165
Oklahoma City Thunder,32.194798
Houston Rockets,32.636604
Toronto Raptors,32.92925
San Antonio Spurs,33.19168
Washington Wizards,33.199413
Portland Trail Blazers,33.278503
Charlotte Hornets,33.404705
Los Angeles Lakers,33.579166
Memphis Grizzlies,33.602856
Golden State Warriors,33.630817
Chicago Bulls,33.66579
Atlanta Hawks,33.74168
Boston Celtics,33.77115
Minnesota Timberwolves,33.80444
Los Angeles Clippers,34.161366
Phoenix Suns,34.17734
Sacramento Kings,34.222206
Indiana Pacers,34.23939
Philadelphia 76ers,34.343506
New Orleans Pelicans,34.8685
Denver Nuggets,34.903687
Utah Jazz,35.02527
Milwaukee Bucks,36.517868
Brooklyn Nets,36.55714
