team,champ
Milwaukee Bucks,-2.935984
Brooklyn Nets,-2.9165864
Los Angeles Clippers,-2.880817
Utah Jazz,-2.8606665
Portland Trail Blazers,-2.821236
Washington Wizards,-2.8065972
Atlanta Hawks,-2.803984
Boston Celtics,-2.782436
Denver Nuggets,-2.772173
Sacramento Kings,-2.770854
Phoenix Suns,-2.763871
New Orleans Pelicans,-2.7594817
Dallas Mavericks,-2.7326603
Philadelphia 76ers,-2.7323372
Toronto Raptors,-2.6838582
San Antonio Spurs,-2.670348
Memphis Grizzlies,-2.6625626
Minnesota Timberwolves,-2.6570761
Golden State Warriors,-2.6371634
Indiana Pacers,-2.6289933
Chicago Bulls,-2.5898983
Houston Rockets,-2.5817962
New York Knicks,-2.5738509
Los Angeles Lakers,-2.5675824
Orlando Magic,-2.5249712
Detroit Pistons,-2.5113802
Charlotte Hornets,-2.491134
Oklahoma City Thunder,-2.4872901
Miami Heat,-2.4845924
Cleveland Cavaliers,-2.3971188
