team,champ
Detroit Pistons,1.5751164
Golden State Warriors,1.5860045
Miami Heat,1.753547
Cleveland Cavaliers,1.8074391
Minnesota Timberwolves,1.9102528
Toronto Raptors,1.9389765
Chicago Bulls,2.0498812
Washington Wizards,2.0899642
New York Knicks,2.1055543
Charlotte Hornets,2.118913
Los Angeles Lakers,2.1346714
Indiana Pacers,2.1426318
Houston Rockets,2.1703007
Oklahoma City Thunder,2.1849391
Memphis Grizzlies,2.3504183
Boston Celtics,2.4143698
Phoenix Suns,2.4583485
Philadelphia 76ers,2.4604485
Sacramento Kings,2.594085
Denver Nuggets,2.6013005
Orlando Magic,2.630461
Atlanta Hawks,2.63604
Dallas Mavericks,2.689009
Los Angeles Clippers,2.7392151
San Antonio Spurs,2.7468321
New Orleans Pelicans,2.8134673
Brooklyn Nets,2.9263327
Utah Jazz,3.0304334
Portland Trail Blazers,3.1185067
Milwaukee Bucks,3.5359638
